trial,score,best_score,sharpe,best_sharpe,ann_return,ann_vol,max_dd,calmar,profit_factor,avg_turnover,avg_positions,n_trade_days,elapsed_min,error,N_PCA_FACTORS,OU_WINDOW,ENTRY_THRESHOLD,LONG_EXIT_THRESHOLD,SHORT_EXIT_THRESHOLD,KAPPA_MIN,DELTA_A,OBS_VAR_SCALE
16,0.8113230053080249,0.8113230053080249,0.8693479807790757,0.8693479807790757,0.08905336369978137,0.10243695927144758,-0.10555252680493166,0.8436876538669521,1.184079936405659,0.10497424137169753,61.66153846153846,1815,9.091145296891531,,9,160,1.5,0.7,0.1,20,0.9981793304971105,1.0715939133495058
17,0.27764995964718786,0.8113230053080249,0.3469766925737956,0.8693479807790757,0.0376697813141024,0.10856573977541945,-0.1280600557067021,0.2941571523315442,1.0735144885179302,0.10593410146513364,55.52582417582418,1814,9.8869358420372,,14,160,1.75,0.7,0.1,20,0.9963340142461949,1.3192196107639294
18,0.4515880967206246,0.8113230053080249,0.5041448977480621,0.8693479807790757,0.04478042926532501,0.08882452141309435,-0.09383092930478765,0.47724593156129086,1.0969862213713806,0.11282672750087464,67.31043956043956,1815,10.552892545859018,,11,140,1.25,0.4,0.4,18,0.9978842858759238,1.0827191488603118
19,0.7612762726193085,0.8113230053080249,0.847515651928177,0.8693479807790757,0.0914491582459824,0.10790261871615829,-0.16012730665182884,0.5711028316040058,1.1771419862658432,0.12351451965907975,53.19505494505494,1812,11.202705085277557,,9,160,1.75,0.9999999999999999,0.4,20,0.9979663366992643,1.067485603571962
20,0.4119623329441931,0.8113230053080249,0.5002238529751882,0.8693479807790757,0.05316370619235036,0.10627983027228283,-0.1626013091494507,0.3269574302349949,1.0949185754632011,0.13921730912539515,54.75,1816,11.823072330156963,,7,160,1.5,0.85,0.5499999999999999,20,0.9971019795057254,1.3949971344496759
21,0.53037999142097,0.8113230053080249,0.6098116732588538,0.8693479807790757,0.05242453300302157,0.08596839860880841,-0.14466723297556494,0.3623801459717996,1.1150019394378676,0.14196130700202594,65.63846153846154,1815,12.549092161655427,,12,140,1.25,0.9999999999999999,0.25,20,0.9987864413133412,1.1768291367590586
22,0.3612158689643867,0.8113230053080249,0.4394029293306246,0.8693479807790757,0.041953033961576,0.09547736521803848,-0.14520866396143528,0.2889155014381094,1.079341132450838,0.11165456771040555,48.1,1804,13.301786541938782,,11,160,2.0,0.9999999999999999,0.25,20,0.9964372799400791,0.8600897945709162
23,0.5751895721167736,0.8113230053080249,0.6409674724962964,0.8693479807790757,0.06469485997698271,0.10093314053055404,-0.12151764681409061,0.5323906582552502,1.119693607869988,0.10038153944954947,48.17087912087912,1805,13.95218516588211,,8,140,2.25,0.85,0.4,16,0.998016734550354,1.194202000016862
24,0.6727460299441752,0.8113230053080249,0.7417023755972079,0.8693479807790757,0.07084985098962307,0.09552328982710323,-0.13008323578216185,0.5446501277710268,1.1430252056339016,0.07829455523903527,56.29120879120879,1809,14.65903207063675,,9,160,2.0,0.4,0.1,20,0.9988435004422324,0.97330644825624
25,0.3883411162029327,0.8113230053080249,0.47219492218988857,0.8693479807790757,0.04378050109976274,0.09271700952802038,-0.15954465717950084,0.27440907062469716,1.0835132612436018,0.08162954794410884,56.262087912087914,1809,15.306894759337107,,7,140,2.0,0.25,0.1,20,0.9983972946157349,1.2657783529764575
26,0.6844200204194264,0.8113230053080249,0.7543206520885674,0.8693479807790757,0.07220290876473834,0.09571911966724299,-0.13192969886082861,0.5472832075581746,1.1458820101177576,0.07871564477453422,55.97692307692308,1809,16.040699688593545,,9,160,2.0,0.4,0.1,20,0.9987114069127258,0.8309409526717422
27,0.7463874662540564,0.8113230053080249,0.8033834563057123,0.8693479807790757,0.07880096343944736,0.09808636563392358,-0.10623419363946462,0.7417664759322258,1.1740537653195933,0.07757786463847159,62.635714285714286,1815,16.826903041203817,,10,160,1.75,0.25,0.1,12,0.9988533231152358,0.7493164722048821
28,0.5216470279917003,0.8113230053080249,0.5727640968487854,0.8693479807790757,0.04961462119462612,0.08662313414474511,-0.09338420982443973,0.5312956150499161,1.1115147076252065,0.08849927889730527,70.07967032967034,1815,17.67647596200307,,11,160,1.25,0.1,0.1,10,0.997771137364402,0.8544064860469993
29,0.32492734656826366,0.8113230053080249,0.40108909718058355,0.8693479807790757,0.04126875020805239,0.10289172779351774,-0.14333981817480823,0.28790848721269907,1.076460723496201,0.08983683049831583,60.286813186813184,1815,18.33919087648392,,6,140,1.75,0.1,0.25,10,0.9977473151476235,0.6723092135861669
