trial,score,best_score,sharpe,best_sharpe,ann_return,ann_vol,max_dd,calmar,profit_factor,avg_turnover,avg_positions,n_trade_days,elapsed_min,error,N_PCA_FACTORS,OU_WINDOW,ENTRY_THRESHOLD,LONG_EXIT_THRESHOLD,SHORT_EXIT_THRESHOLD,KAPPA_MIN,DELTA_A,OBS_VAR_SCALE
16,0.8089556220394695,0.8089556220394695,0.8669806629729631,0.8669806629729631,0.08882157118867752,0.10244931055797658,-0.1055525012599684,0.8414918654548623,1.1835130786780985,0.10497580607018758,61.66153846153846,1815,16.434949787457786,,9,160,1.5,0.7,0.1,20,0.9981793304971105,1.0715939133495058
17,0.2775343896218126,0.8089556220394695,0.3468620131986328,0.8669806629729631,0.037657527381158316,0.10856630575915353,-0.1280616132923088,0.2940578867705079,1.0734887812150107,0.10593633861331657,55.52582417582418,1814,18.37371668020884,,14,160,1.75,0.7,0.1,20,0.9963340142461949,1.3192196107639294
18,0.4481908526674647,0.8089556220394695,0.5007492741986068,0.8669806629729631,0.04449148243073597,0.08884981910745574,-0.09383103062635234,0.47416597828821655,1.0963002530095156,0.11285812435931905,67.310989010989,1815,19.645771265029907,,11,140,1.25,0.4,0.4,18,0.9978842858759238,1.0827191488603118
19,0.7587092886097148,0.8089556220394695,0.844948793756673,0.8669806629729631,0.09118667946598874,0.10791976997868646,-0.1601273795769279,0.5694633841315133,1.1765438541408346,0.12351630716988475,53.19505494505494,1812,20.85519522825877,,9,160,1.75,0.9999999999999999,0.4,20,0.9979663366992643,1.067485603571962
20,0.4108224498396267,0.8089556220394695,0.4990840894703714,0.8669806629729631,0.053046322057792625,0.10628734350975892,-0.1626013956507958,0.3262353428485656,1.0946892822014127,0.13921883610693706,54.75,1816,21.924692861239116,,7,160,1.5,0.85,0.5499999999999999,20,0.9971019795057254,1.3949971344496759
21,0.5254852559602474,0.8089556220394695,0.6049141901480009,0.8669806629729631,0.05201391688179414,0.08598561205692364,-0.14466658312053804,0.35954341189115857,1.1140009881210764,0.14191285254968827,65.64175824175824,1815,23.39088391860326,,12,140,1.25,0.9999999999999999,0.25,20,0.9987864413133412,1.1768291367590586
22,0.35991724080583004,0.8089556220394695,0.43810500405893005,0.8669806629729631,0.04183390738005345,0.09548831214542877,-0.14520986969509464,0.2880927272222919,1.0790980938176487,0.11165656811105393,48.1,1804,24.99232459863027,,11,160,2.0,0.9999999999999999,0.25,20,0.9964372799400791,0.8600897945709162
23,0.5725327342369347,0.8089556220394695,0.6383106233446846,0.8669806629729631,0.06444127146333627,0.10095597520478411,-0.1215174296514776,0.5303047607915947,1.1191686669709886,0.10038348564022087,48.17087912087912,1805,26.077074205875398,,8,140,2.25,0.85,0.4,16,0.998016734550354,1.194202000016862
24,0.6699498467505465,0.8089556220394695,0.7389062280698474,0.8669806629729631,0.0705885407324794,0.09553112161047694,-0.13008315397574233,0.5426416763053165,1.1424226974792733,0.0782960866285952,56.29120879120879,1809,27.368183171749116,,9,160,2.0,0.4,0.1,20,0.9988435004422324,0.97330644825624
25,0.3824701340079973,0.8089556220394695,0.46632585013821576,0.8669806629729631,0.04324724727645546,0.09274040301140773,-0.1595446713857287,0.2710666981280575,1.0824123292700472,0.08166760874708211,56.26263736263736,1809,28.440279567241667,,7,140,2.0,0.25,0.1,20,0.9983972946157349,1.2657783529764575
26,0.6815996730219895,0.8089556220394695,0.7515002906270569,0.8669806629729631,0.07194059015855278,0.09572929120030688,-0.13192951882328607,0.5452956305776732,1.1452751307221534,0.0787171638684861,55.97692307692308,1809,29.768768088022867,,9,160,2.0,0.4,0.1,20,0.9987114069127258,0.8309409526717422
27,0.7437349611352592,0.8089556220394695,0.8007308780072445,0.8669806629729631,0.07855441896751138,0.09810339669054284,-0.10623391218580358,0.7394476711929742,1.1734149969880558,0.07757921558167108,62.635714285714286,1815,31.20258330901464,,10,160,1.75,0.25,0.1,12,0.9988533231152358,0.7493164722048821
28,0.5198134574972028,0.8089556220394695,0.5709306632399189,0.8669806629729631,0.04946358542065983,0.08663676450650547,-0.09338431283233461,0.5296776719818932,1.1111376040817298,0.08850098653097636,70.07967032967034,1815,32.92874567111333,,11,160,1.25,0.1,0.1,10,0.997771137364402,0.8544064860469993
